0,0
12,0
20,0
32,0
40,0
53,0
61,0
72,5
81,5
93,5
121,18
133,18
161,38
173,38
202,59
214,59
222,59
234,78
242,78
255,78
263,78
276,92
285,92
296,92
305,92
316,110
325,110
336,110
345,110
357,126
366,126
378,126
387,126
398,129
447,144
459,144
468,144
480,150
492,150
500,150
512,157
520,157
533,157
541,157
574,163
582,163
594,171
602,171
614,171
622,171
634,177
642,177
654,177
662,177
675,180
684,180
715,187
724,187
736,187
744,187
756,191
764,191
777,191
785,191
797,197
805,197
817,197
826,197
858,195
866,195
900,198
912,205
920,205
932,195
941,195
952,195
961,195
974,208
982,208
994,208
1023,208
1035,203
1044,203
1055,203
1063,203
1076,208
1086,208
1096,208
1126,212
1137,212
1166,212
1178,212
1207,213
1218,213
1227,213
1239,212
1247,212
1259,212
1312,217
1320,217
1332,217
1341,218
1353,218
1361,218
1374,217
1382,217
1394,217
1402,217
1415,217
1424,217
1435,217
1445,214
1456,214
1465,214
1497,221
1506,221
1518,217
1527,217
1559,218
1568,218
1580,218
1592,218
1621,217
1632,217
1642,218
1653,218
1661,218
1674,219
1683,219
1694,219
1703,219
1715,218
1744,213
1756,213
1785,223
1797,223
1826,215
1837,215
1846,217
1858,217
1867,217
1879,221
1888,221
1899,221
1908,221
1920,219
1928,219
1939,219
1952,217
1960,217
1968,217
1981,217
1993,215
2001,215
2033,220
2042,220
2054,220
2062,220
2075,218
2084,218
2116,221
2125,221
2156,211
2165,211
2177,218
2186,218
2197,218
2206,218
2238,221
2247,211
2259,211
2268,211
2280,221
2292,221
2300,221
2312,214
2320,214
2332,214
2361,222
2373,222
2381,222
2394,218
2402,218
2414,218
2462,213
2474,224
2483,224
2495,224
2504,224
2516,216
2444,213
2454,213
2524,216
2536,216
2546,216
2557,216
2566,216
2579,220
2588,220
2599,220
2633,214
2641,214
2654,217
2662,217
2674,217
2682,217
2695,223
2704,223
2716,223
2725,223
2737,216
2746,216
2757,216
2766,216
2778,215
2787,215
2820,218
2832,218
2841,218
2853,221
2861,221
2874,221
2882,221
2895,216
2925,216
2936,222
2945,222
2957,222
2966,222
2977,219
2987,219
2999,219
3028,216
3040,216
3052,218
3061,218
3073,218
3081,218
3095,222
3103,222
3115,222
3124,222
3136,218
3145,218
3157,218
3165,218
3177,215
3186,215
3199,215
3208,215
3220,219
3232,219
3240,219
3253,215
3261,215
3273,215
3282,215
3295,217
3303,217
3315,217
3332,217
3343,220
3355,220
3362,220
3375,215
3382,215
3398,215
3406,215
3417,220
3426,220
3437,220
3446,220
3457,218
3465,218
3476,218
3485,218
3497,215
3505,215
3517,215
3525,215
3537,220
3545,220
3557,220
3565,220
3577,218
3585,218
3597,218
3606,218
